subjectId,الاسم في الملف (خطأ),وحدات,دروس,المادة (مقترحة),ثقة,الصف — املأه,عينة وحدات
90,تطبيقات النسبة المئوية,9,85,الرياضيات,21,,تطبيقات النسبة المئوية | الإحصاء | الاحتمال | الهندسة: المضلعات | القياس: الأشكال الثنائية الأبعاد و الثلاثية الأبعاد
3822,الإحداثيات القطبية والأعداد المركبة,8,57,الرياضيات,21,,الإحداثيات القطبية والأعداد المركبة | الاحتمال والإحصاء | النهايات والاشتقاق | تحليل الدوال | العلاقات والدوال الأسية واللوغاريتمية
3827,الإحداثيات القطبية والأعداد المركبة,8,57,الرياضيات,21,,الإحداثيات القطبية والأعداد المركبة | الاحتمال والإحصاء | النهايات والاشتقاق | تحليل الدوال | العلاقات والدوال الأسية واللوغاريتمية
314,القياس: النقود والزمن,13,117,الرياضيات,20,,القياس: النقود والزمن | الكسور | الاعداد حتى 1000 | الأشكال الهندسية | القياس: الطول والمساحة
383,القسمة على عدد من رقم واحد,12,111,الرياضيات,20,,القسمة على عدد من رقم واحد | الأشكال الهندسية والاستدلال المكاني | القياس | الكسور الاعتيادية | الكسور العشرية
1120,كثيرات الحدود,11,98,الرياضيات,20,,كثيرات الحدود | التحليل والمعادلات التربيعية | الدوال التربيعية | المعادلات الجذرية والمثلثات | الإحصاء والاحتمال
1215,الدوال و المتباينات,8,74,الرياضيات,19,,الدوال و المتباينات | المصفوفات | كثيرات الحدود و دوالها | العلاقات و الدوال العكسية و الجذرية | العلاقات و الدوال النسبية
1220,الدوال و المتباينات,8,74,الرياضيات,19,,الدوال و المتباينات | المصفوفات | كثيرات الحدود و دوالها | العلاقات و الدوال العكسية و الجذرية | العلاقات و الدوال النسبية
4688,المقارنة والتصنيف,13,97,الرياضيات,19,,المقارنة والتصنيف | الأعداد حتى 5 | الموقع والنمط | الأعداد حتى 10 | الطرح
3997,وحدة تعزيز المهارات,11,98,الرياضيات,18,,وحدة تعزيز المهارات | المعادلات الخطية | العلاقات والدوال الخطية | الدوال الخطية | المتباينات الخطية
160,الإحصاء,11,113,الرياضيات,17,,الإحصاء | الاحتمالات | القياس: المساحة والحجم | الجبر (المعادلات والمتباينات) | الجبر: الدوال الخطية
1205,التشابه,8,73,الرياضيات,4,,التشابه | التحويلات الهندسية و التماثل | الدائرة | التبرير و البرهان | التوازي و التعامد
1210,التشابه,8,73,الرياضيات,4,,التشابه | التحويلات الهندسية و التماثل | الدائرة | التبرير و البرهان | التوازي و التعامد
284,النباتات من حولنا,6,22,العلوم,39,,النباتات من حولنا | الحيوانات ومساكنها | المادة | أرضنا | الطقس
4695,النباتات من حولنا,6,22,العلوم,39,,النباتات من حولنا | الحيوانات ومساكنها | المادة | أرضنا | الطقس
390,المخلوقات الحية,8,35,العلوم,36,,المخلوقات الحية | الفضاءُ | المادة | القوى والطاقة | الأنظمة البيئية
4692,المخلوقات الحية,8,35,العلوم,36,,المخلوقات الحية | الفضاءُ | المادة | القوى والطاقة | الأنظمة البيئية
534,تنوع الحياة,6,24,العلوم,35,,تنوع الحياة | عمليات الحياة | الفضاء | الأنظمة البيئية ومواردها | المادة
4147,تنوع الحياة,6,24,العلوم,35,,تنوع الحياة | عمليات الحياة | الفضاء | الأنظمة البيئية ومواردها | المادة
429,المخلوقات الحية,6,25,العلوم,34,,المخلوقات الحية | النظام البيئي | الطقس و المناخ | الأرض و مواردها | المادة
4400,المخلوقات الحية,6,25,العلوم,34,,المخلوقات الحية | النظام البيئي | الطقس و المناخ | الأرض و مواردها | المادة
95,العلم وتفاعلات الأجسام,6,28,العلوم,31,,العلم وتفاعلات الأجسام | طبيعة المادة | ما وراء الأرض | سطح الأرض المتغير | تباين الحياة
4228,العلم وتفاعلات الأجسام,6,28,العلوم,31,,العلم وتفاعلات الأجسام | طبيعة المادة | ما وراء الأرض | سطح الأرض المتغير | تباين الحياة
166,دراسة المادة,7,73,العلوم,30,,دراسة المادة | المادة و الطاقة | أجهزة جسم الانسان -2 | أجهزة جسم الإنسان | النباتات وموارد البيئة
4124,دراسة المادة,7,73,العلوم,30,,دراسة المادة | المادة و الطاقة | أجهزة جسم الانسان -2 | أجهزة جسم الإنسان | النباتات وموارد البيئة
1121,طبيعة العلم و تغيرات الأرض,6,28,العلوم,29,,طبيعة العلم و تغيرات الأرض | أسس الحياة | كيمياء المادة | الروابط والتفاعلات الكيميائية | الحركة والقوة
